metric, step, value
env0_out_equalized_odds, 2501, 0.0
env0_out_equalized_odds, 3001, 0.0
env0_out_equalized_odds, 3501, 0.0
env0_out_equalized_odds, 4001, 0.0
env0_out_equalized_odds, 4501, 0.0
env0_out_equalized_odds, 5001, 0.0
env0_out_equalized_odds, 5501, 0.0
env0_out_equalized_odds, 6001, 0.0
env0_out_equalized_odds, 6501, 0.0
env0_out_equalized_odds, 7001, 0.0
env0_out_equalized_odds, 7501, 0.0
env0_out_equalized_odds, 8001, 0.0
env0_out_auc_score, 1, 0.5059253573417664
env0_out_auc_score, 501, 0.522022545337677
env0_out_auc_score, 1001, 0.5698696374893188
env0_out_auc_score, 1501, 0.5658206343650818
env0_out_auc_score, 2001, 0.5896207690238953
env0_out_auc_score, 2501, 0.6109026074409485
env0_out_auc_score, 3001, 0.5651293992996216
env0_out_auc_score, 3501, 0.5499209761619568
env0_out_auc_score, 4001, 0.6089769005775452
env0_out_auc_score, 4501, 0.5994469523429871
env0_out_auc_score, 5001, 0.5981631278991699
env0_out_auc_score, 5501, 0.5981137752532959
env0_out_auc_score, 6001, 0.5984100103378296
env0_out_auc_score, 6501, 0.5986075401306152
env0_out_auc_score, 7001, 0.5990519523620605
env0_out_auc_score, 7501, 0.5989531874656677
env0_out_auc_score, 8001, 0.5993481874465942
env1_out_accuracy, 1, 0.9883720874786377
env1_out_accuracy, 501, 0.9883720874786377
env1_out_accuracy, 1001, 0.9883720874786377
env1_out_accuracy, 1501, 0.9883720874786377
env1_out_accuracy, 2001, 0.9883720874786377
env1_out_accuracy, 2501, 0.9883720874786377
env1_out_accuracy, 3001, 0.9883720874786377
env1_out_accuracy, 3501, 0.9883720874786377
env1_out_accuracy, 4001, 0.9883720874786377
env1_out_accuracy, 4501, 0.9883720874786377
env1_out_accuracy, 5001, 0.9883720874786377
env1_out_accuracy, 5501, 0.9883720874786377
env1_out_accuracy, 6001, 0.9883720874786377
env1_out_accuracy, 6501, 0.9883720874786377
env1_out_accuracy, 7001, 0.9883720874786377
env1_out_accuracy, 7501, 0.9883720874786377
env1_out_accuracy, 8001, 0.9883720874786377
env1_out_max_difference, 1, 0.0006125122308731079
env1_out_max_difference, 501, 0.004972267895936966
env1_out_max_difference, 1001, 0.0020506475120782852
env1_out_max_difference, 1501, 0.001093497034162283
env1_out_max_difference, 2001, 4.91533282911405e-05
env1_out_max_difference, 2501, 0.0005625539342872798
env1_out_max_difference, 3001, 0.00235986546613276
env1_out_max_difference, 3501, 8.992638322524726e-05
env1_out_max_difference, 4001, 1.343826897937106e-05
env1_out_max_difference, 4501, 4.7172946437967767e-08
env1_out_max_difference, 5001, 4.477178627837475e-09
env1_out_max_difference, 5501, 2.881198835069654e-09
env1_out_max_difference, 6001, 1.945016370186181e-09
env1_out_max_difference, 6501, 1.3057221970314004e-09
env1_out_max_difference, 7001, 8.99521457320418e-10
env1_out_max_difference, 7501, 5.675556691286943e-10
env1_out_max_difference, 8001, 4.45178838237581e-10
env1_out_demographic_parity, 1, 0.0
env1_out_demographic_parity, 501, 0.0
env1_out_demographic_parity, 1001, 0.0
env1_out_demographic_parity, 1501, 0.0
env1_out_demographic_parity, 2001, 0.0
env1_out_demographic_parity, 2501, 0.0
env1_out_demographic_parity, 3001, 0.0
env1_out_demographic_parity, 3501, 0.0
env1_out_demographic_parity, 4001, 0.0
env1_out_demographic_parity, 4501, 0.0
env1_out_demographic_parity, 5001, 0.0
env1_out_demographic_parity, 5501, 0.0
env1_out_demographic_parity, 6001, 0.0
env1_out_demographic_parity, 6501, 0.0
env1_out_demographic_parity, 7001, 0.0
env1_out_demographic_parity, 7501, 0.0
env1_out_demographic_parity, 8001, 0.0
env1_out_equalized_odds, 1, 0.0
env1_out_equalized_odds, 501, 0.0
env1_out_equalized_odds, 1001, 0.0
env1_out_equalized_odds, 1501, 0.0
env1_out_equalized_odds, 2001, 0.0
env1_out_equalized_odds, 2501, 0.0
env1_out_equalized_odds, 3001, 0.0
env1_out_equalized_odds, 3501, 0.0
env1_out_equalized_odds, 4001, 0.0
env1_out_equalized_odds, 4501, 0.0
env1_out_equalized_odds, 5001, 0.0
env1_out_equalized_odds, 5501, 0.0
env1_out_equalized_odds, 6001, 0.0
env1_out_equalized_odds, 6501, 0.0
env1_out_equalized_odds, 7001, 0.0
env1_out_equalized_odds, 7501, 0.0
env1_out_equalized_odds, 8001, 0.0
env1_out_auc_score, 1, 0.5003278851509094
env1_out_auc_score, 501, 0.602622926235199
env1_out_auc_score, 1001, 0.5036065578460693
env1_out_auc_score, 1501, 0.5167213082313538
env1_out_auc_score, 2001, 0.5318032503128052
env1_out_auc_score, 2501, 0.5763934254646301
env1_out_auc_score, 3001, 0.556065559387207
env1_out_auc_score, 3501, 0.5049180388450623
env1_out_auc_score, 4001, 0.5278688669204712
env1_out_auc_score, 4501, 0.510819673538208
env1_out_auc_score, 5001, 0.5095081925392151
env1_out_auc_score, 5501, 0.5095081925392151
env1_out_auc_score, 6001, 0.508852481842041
env1_out_auc_score, 6501, 0.5081967115402222
env1_out_auc_score, 7001, 0.5068852305412292
env1_out_auc_score, 7501, 0.5068852305412292
env1_out_auc_score, 8001, 0.5075410008430481
env2_out_accuracy, 1, 0.9641693830490112
env2_out_accuracy, 501, 0.9641693830490112
env2_out_accuracy, 1001, 0.9641693830490112
env2_out_accuracy, 1501, 0.9565689563751221
env2_out_accuracy, 2001, 0.9576547145843506
env2_out_accuracy, 2501, 0.9478827118873596
env2_out_accuracy, 3001, 0.9543973803520203
env2_out_accuracy, 3501, 0.9598262906074524
env2_out_accuracy, 4001, 0.9630836248397827
env2_out_accuracy, 4501, 0.9630836248397827
env2_out_accuracy, 5001, 0.9630836248397827
env2_out_accuracy, 5501, 0.9630836248397827
env2_out_accuracy, 6001, 0.9630836248397827
env2_out_accuracy, 6501, 0.9630836248397827
env2_out_accuracy, 7001, 0.9630836248397827
env2_out_accuracy, 7501, 0.9630836248397827
env2_out_accuracy, 8001, 0.9630836248397827
env2_out_max_difference, 1, 0.0010393112897872925
env2_out_max_difference, 501, 0.0009298399090766907
env2_out_max_difference, 1001, 0.0017725992947816849
env2_out_max_difference, 1501, 0.001382654532790184
env2_out_max_difference, 2001, 0.0029784664511680603
env2_out_max_difference, 2501, 0.003916958346962929
env2_out_max_difference, 3001, 0.004764582961797714
env2_out_max_difference, 3501, 0.001171519048511982
env2_out_max_difference, 4001, 0.004834630526602268
env2_out_max_difference, 4501, 0.004712080117315054
env2_out_max_difference, 5001, 0.00528414361178875
env2_out_max_difference, 5501, 0.005370655097067356
env2_out_max_difference, 6001, 0.00549890473484993
env2_out_max_difference, 6501, 0.0055410899221897125
env2_out_max_difference, 7001, 0.005729180760681629
env2_out_max_difference, 7501, 0.005658380687236786
env2_out_max_difference, 8001, 0.005707168485969305
env2_out_demographic_parity, 1, 0.0
env2_out_demographic_parity, 501, 0.0
env2_out_demographic_parity, 1001, 0.0
env2_out_demographic_parity, 1501, 0.64682537317276
